2025-05-04 14:08:43,219 [1292] [com.waf.Runner.main()] INFO  DriverFunctions.(DriverFunctions.java:49) | Closing Browser SUCCESSFUL
2025-05-04 14:08:50,786 [1292] [com.waf.Runner.main()] INFO  SMBrowserDownloader.(SMBrowserDownloader.java:72) | Playwright browser launched successfully!
2025-05-04 14:08:50,874 [1292] [com.waf.Runner.main()] INFO  SMBrowserDownloader.(SMBrowserDownloader.java:74) | Playwright browser closed successfully!
2025-05-04 14:08:50,954 [1292] [com.waf.Runner.main()] WARN  ExecutionManager.(ExecutionManager.java:197) | No process found with PID: 13736
2025-05-04 14:08:50,956 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:155) | PID file cleared successfully.
2025-05-04 14:08:50,959 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:140) | Saved PID: 1292
2025-05-04 14:08:50,960 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:69) | Starting standard execution.
2025-05-04 14:08:50,961 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:81) | Loading 'start.properties' file.
2025-05-04 14:08:50,961 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:90) | Checking if 'start.properties' file option to delete results and recording folders is set to 'yes'.
2025-05-04 14:08:50,961 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:94) | Deleting the test_results and recordings folders.
2025-05-04 14:08:51,030 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:99) | Creating the test_results and recordings folders.
2025-05-04 14:08:51,044 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:102) | Starting analysis of the contents of the test_scripts folders.
2025-05-04 14:08:51,047 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:244) | Gathering all files present in the test_scripts folder.
2025-05-04 14:08:51,117 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:258) | Processing file: D:\allprojects\java-projects\webautomationframework_java\test_scripts\1t.xls
2025-05-04 14:08:51,117 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:258) | Processing file: D:\allprojects\java-projects\webautomationframework_java\test_scripts\chrome\QS002_testscript.xlsx
2025-05-04 14:08:51,118 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:261) | Valid test script found: QS002_testscript.xlsx
2025-05-04 14:08:51,120 [1292] [Thread-13] INFO  ExecutionManager.(ExecutionManager.java:317) | Starting test script execution...
2025-05-04 14:08:51,120 [1292] [Thread-14] INFO  ExecutionManager.(ExecutionManager.java:1179) | Starting screen recording...
2025-05-04 14:08:51,121 [1292] [Thread-13] INFO  ExecutionManager.(ExecutionManager.java:318) | Test script file: D:\allprojects\java-projects\webautomationframework_java\test_scripts\chrome\QS002_testscript.xlsx
2025-05-04 14:08:51,121 [1292] [Thread-13] INFO  ExecutionManager.(ExecutionManager.java:319) | Launch browser parameter: chrome
2025-05-04 14:08:51,121 [1292] [Thread-13] INFO  ExecutionManager.(ExecutionManager.java:331) | Initializing Excel Report Manager...
2025-05-04 14:08:51,126 [1292] [Thread-13] INFO  ExecutionManager.(ExecutionManager.java:335) | Valid test script found: D:\allprojects\java-projects\webautomationframework_java\test_scripts\chrome\QS002_testscript.xlsx
2025-05-04 14:08:51,127 [1292] [Thread-13] INFO  ExecutionManager.(ExecutionManager.java:949) | Validating the test script: D:\allprojects\java-projects\webautomationframework_java\test_scripts\chrome\QS002_testscript.xlsx
2025-05-04 14:08:51,950 [1292] [Thread-13] INFO  ExecutionManager.(ExecutionManager.java:964) | Reading test script data from Excel.
2025-05-04 14:08:51,981 [1292] [Thread-13] ERROR ExecutionManager.(ExecutionManager.java:1012) | Mandatory keyword missing: tc_id
2025-05-04 14:08:52,416 [1292] [Thread-13] WARN  ExcelReportManager.(ExcelReportManager.java:147) | Writing skipped tc report csv file
2025-05-04 14:08:52,417 [1292] [Thread-13] WARN  ExcelReportManager.(ExcelReportManager.java:148) | [[D:\allprojects\java-projects\webautomationframework_java\test_scripts\chrome\QS002_testscript.xlsx, The 1th keyword must be 'tc_id', Skipped]]
2025-05-04 14:08:52,897 [1292] [Thread-13] ERROR ExecutionManager.(ExecutionManager.java:1000) | Error processing Excel file: The 1th keyword must be 'tc_id'
2025-05-04 14:08:52,897 [1292] [Thread-13] ERROR ExecutionManager.(ExecutionManager.java:390) | Error during test execution: Error processing test script file.
2025-05-04 14:08:53,112 [1292] [Thread-14] INFO  ExecutionManager.(ExecutionManager.java:1210) | Finished recording.
2025-05-04 14:08:53,113 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:306) | Execution and recording completed successfully.
2025-05-04 14:08:53,114 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:258) | Processing file: D:\allprojects\java-projects\webautomationframework_java\test_scripts\edge\QS001_testscript.xlsx
2025-05-04 14:08:53,115 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:261) | Valid test script found: QS001_testscript.xlsx
2025-05-04 14:08:53,117 [1292] [Thread-16] INFO  ExecutionManager.(ExecutionManager.java:1179) | Starting screen recording...
2025-05-04 14:08:53,117 [1292] [Thread-15] INFO  ExecutionManager.(ExecutionManager.java:317) | Starting test script execution...
2025-05-04 14:08:53,118 [1292] [Thread-15] INFO  ExecutionManager.(ExecutionManager.java:318) | Test script file: D:\allprojects\java-projects\webautomationframework_java\test_scripts\edge\QS001_testscript.xlsx
2025-05-04 14:08:53,119 [1292] [Thread-15] INFO  ExecutionManager.(ExecutionManager.java:319) | Launch browser parameter: edge
2025-05-04 14:08:53,119 [1292] [Thread-15] INFO  ExecutionManager.(ExecutionManager.java:331) | Initializing Excel Report Manager...
2025-05-04 14:08:53,119 [1292] [Thread-15] INFO  ExecutionManager.(ExecutionManager.java:335) | Valid test script found: D:\allprojects\java-projects\webautomationframework_java\test_scripts\edge\QS001_testscript.xlsx
2025-05-04 14:08:53,120 [1292] [Thread-15] INFO  ExecutionManager.(ExecutionManager.java:949) | Validating the test script: D:\allprojects\java-projects\webautomationframework_java\test_scripts\edge\QS001_testscript.xlsx
2025-05-04 14:08:53,282 [1292] [Thread-15] INFO  ExecutionManager.(ExecutionManager.java:964) | Reading test script data from Excel.
2025-05-04 14:08:53,289 [1292] [Thread-15] ERROR ExecutionManager.(ExecutionManager.java:1012) | Mandatory keyword missing: tc_id
2025-05-04 14:08:53,391 [1292] [Thread-15] WARN  ExcelReportManager.(ExcelReportManager.java:147) | Writing skipped tc report csv file
